GDP_Average,Life_Average,Ladder_Average,Freedom_Average,Generosity_Average
53.44705882352942,50.87058823529412,60.929411764705875,89.2,100.6470588235294
80.63333333333334,84.25,79.93333333333334,84.83333333333334,83.95
48.3,33.85,69.25,82.5,95.3
79.8952380952381,65.5904761904762,53.39047619047619,61.78095238095237,93.74285714285715
60.82352941176471,73.08235294117647,79.82352941176471,95.05882352941177,94.18823529411765
16.55,17.9,10.55,21.9,14.2
110.85,102.4875,112.875,79.9375,51.30625
75.725,73.7,75.25,27.45,35.825
121.07802197802198,127.17362637362638,119.71098901098901,96.69560439560439,69.45934065934065
21.228571428571424,18.257142857142856,24.35238095238095,44.54285714285714,57.07619047619048
